#Nel/side   Nel     Neq     NeqFull DispY
1           1       306     1700    9.97974
2           4       1144    6816    10.1006
4           16      4416    27296   10.3608
8           64      17344   109248  10.4785
16          256     68736   437120  10.5189
32          1024    273664  1748736 10.5294
