#Nel/side   Nel     Neq     NeqFull DispY
1           2       17      87      7.2915
2           8       56      344     7.3137
4           32      200     1368    7.9722
8           128     752     5456    8.0212
16          512     2912    21792   8.0491
32          2048    11456   87104   8.0627
