#								k=2								
#h       ndof_total   ndof_cond    disp        press       stress      div
1        5274         984          0.111349    0.0468213   0.135617    0.00280928 
0.5      41136        6816         0.00789455  0.0126487   0.0355017   0.000758923
0.25     324864       50304        0.0005354   0.00333602  0.00918824  0.000200161
0.125    2582016      385536       4.86501e-05 0.000856747 0.0023362   5.14048e-05
0.06125  20588544     3016704      5.35411e-06 0.000216895 0.000588355 1.30137e-05
