#				                        k=1								
#h          ndof_total  ndof_cond  disp        press       stress      div
1           1256        156        2.40960		0.325377	0.819804	0.390014
0.5         9784        984        0.60301		0.162724	0.412741	0.195269
0.25        77216       6816       0.151078     0.0836471	0.210811	0.100377
0.125	    613504      50304      0.0377792	0.042128	0.105927	0.0505536
0.06125	    4891136     385536     0.0094389	0.021066	0.052970	0.0252692
