#           k=3                                
#h          ndof_total  ndof_cond  disp        press       stress      div
1           5204        884        0.00202533  0.00177017  0.00738955  0.00010621 
0.5         40136       5576       0.000135558 0.000267984 0.00168824  1.6079e-05 
0.25        315104      38624      8.14619e-06 5.57487e-05 0.000218142 3.34492e-06
0.125       2496896     285056     4.91687e-07 6.99126e-06 2.74277e-05 4.19476e-07
0.06125     19879424    2184704    1.13902e-07 8.66505e-07 3.41149e-06 5.19903e-08
