#Nel/side   Nel     Neq     NeqFull DispY
1           1       11      54      3.5147
2           4       36      212     5.81802
4           16      128     840     7.09253
8           64      480     3344    7.68688
16          256     1856    13344   7.91496
32          1024    7296    53312   8.00541
