#Nel/side   Nel     Neq     NeqFull DispY
1           1       476     2632    10.0609
2           4       1784    10568   10.2829
4           16      6896    42352   10.4436
8           64      27104   169568  10.5048
16          256     107456  678592  10.5255
32          1024    427904  2715008 10.531
