#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0.124	-0.062	-0.333333	0.666667	0.333333
0.125	-0.0625	-0.333333	0.666667	0.333333
0.126	-0.063	-0.333333	0.666667	0.333333
0.127	-0.0635	-0.333333	0.666667	0.333333
0.128	-0.064	-0.333333	0.666667	0.333333
0.129	-0.0645	-0.333333	0.666667	0.333333
0.13	-0.065	-0.333333	0.666667	0.333333
0.131	-0.0655	-0.333333	0.666667	0.333333
0.132	-0.066	-0.333333	0.666667	0.333333
0.133	-0.0665	-0.333333	0.666667	0.333333
0.134	-0.067	-0.333333	0.666667	0.333333
0.135	-0.0675	-0.333333	0.666667	0.333333
0.136	-0.068	-0.333333	0.666667	0.333333
0.137	-0.0685	-0.333333	0.666667	0.333333
0.138	-0.069	-0.333333	0.666667	0.333333
0.139	-0.0695	-0.333333	0.666667	0.333333
0.14	-0.07	-0.333333	0.666667	0.333333
0.141	-0.0705	-0.333333	0.666667	0.333333
0.142	-0.071	-0.333333	0.666667	0.333333
0.143	-0.0715	-0.333333	0.666667	0.333333
0.144	-0.072	-0.333333	0.666667	0.333333
0.145	-0.0725	-0.333333	0.666667	0.333333
0.146	-0.073	-0.333333	0.666667	0.333333
0.147	-0.0735	-0.333333	0.666667	0.333333
0.148	-0.074	-0.333333	0.666667	0.333333
0.149	-0.0745	-0.333333	0.666667	0.333333
0.15	-0.075	-0.333333	0.666667	0.333333
0.151	-0.0755	-0.333333	0.666667	0.333333
0.152	-0.076	-0.333333	0.666667	0.333333
0.153	-0.0765	-0.333333	0.666667	0.333333
0.154	-0.077	-0.333333	0.666667	0.333333
0.155	-0.0775	-0.333333	0.666667	0.333333
0.156	-0.078	-0.333333	0.666667	0.333333
0.157	-0.0785	-0.333333	0.666667	0.333333
0.158	-0.079	-0.333333	0.666667	0.333333
0.159	-0.0795	-0.333333	0.666667	0.333333
0.16	-0.08	-0.333333	0.666667	0.333333
0.161	-0.0805	-0.333333	0.666667	0.333333
0.162	-0.081	-0.333333	0.666667	0.333333
0.163	-0.0815	-0.333333	0.666667	0.333333
0.164	-0.082	-0.333333	0.666667	0.333333
0.165	-0.0825	-0.333333	0.666667	0.333333
0.166	-0.083	-0.333333	0.666667	0.333333
0.167	-0.0835	-0.333333	0.666667	0.333333
0.168	-0.084	-0.333333	0.666667	0.333333
0.169	-0.0845	-0.333333	0.666667	0.333333
0.17	-0.085	-0.333333	0.666667	0.333333
0.171	-0.0855	-0.333333	0.666667	0.333333
0.172	-0.086	-0.333333	0.666667	0.333333
