#Nel/side   Nel     Neq     NeqFull DispY
1           1       174     1002    8.11594
2           4       648     4008    9.63049
4           16      2496    16032   10.196
8           64      9792    64128   10.4001
16          256     38784   256512  10.492
32          1024    154368  1026048 10.5229
