#								k=1								
#h		ndof_total	ndof_cond	disp		press		stress		div
1	1266	161	3.279979	0.485771	1.114001	2.34321e-13
0.5	9864	1024	0.807007	0.242845	0.556988	2.66222e-13
0.25	77856	7136	0.20869	0.127265	0.289549	6.42499e-13
0.125	618624	52864	0.0529418	0.0645018	0.14638	1.31827e-12
0.06125	4932096	406016	0.0133198	0.0323716	0.0734059	2.86035e-12
