#Nel/side    Neq    Neq     Neq      P2P1       P3P2        P4P3  
1            22     41      66       6.60384    7.8477      7.72021
2            59     123     211      8.31816    8.12812     8.08617
4            187    419     747      8.2381     8.09304     8.06435
8            659    1539    2803     8.16861    8.0788      8.06681
16           2467   5891    10851    8.12381    8.07737     8.07112
32           9539   23043   42691    8.0994     8.07634     8.0732
