#                k=2                                
#h        ndof_total   ndof_cond   disp         press       stress      div
1         2817         447         0.123497     0.0357861   0.10823     2.14716e-05
0.5       21788        2828        0.00793731   0.00931203  0.0284132   5.58722e-06
0.25      171312       19632       0.000609336  0.00232762  0.00718736  1.39657e-06
0.125     1358528      145088      5.29723e-05  0.000580994 0.00179685  3.48596e-07
0.06125   10820352     1112832     5.13661e-06  0.000144851 0.000448837 8.69105e-08
