#Nel/side    Neq    Neq     Neq     P2P1       P3P2     P4P3  
1            22     41      66      5.03694    7.59738  7.47568
2            59     123     211     7.99316    7.93918  7.96542
4            187    419     747     8.0026     8.00207  8.02067
8            659    1539    2803    8.04996    8.03967  8.04858
16           2467   5891    10851   8.06419    8.05801  8.06254
32           9539   23043   42691   8.07019    8.06721  8.06944
