#								k=2								
#h          ndof_total  ndof_cond  disp        press       stress      div
1           5334        1014       0.111035    0.0477799   0.136941    2.8668e-05
0.5         41616       7056       0.00789925  0.0129624   0.0359854   7.77746e-06
0.25        328704      52224      0.000538137 0.00342698  0.00933242  2.05619e-06
0.125       2612736     400896     4.91148e-05 0.000881237 0.00237542  5.28742e-07
0.06125     20834304    3139584    5.41235e-06 0.000223242 0.000598554 1.33946e-07
