#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0	-4.72369E-23	-0.334479	0.668385	0.335052
0.001	-0.000502094	-0.334451	0.668344	0.335011
0.002	-0.00100419	-0.334424	0.668303	0.334969
0.003	-0.00150628	-0.334396	0.668261	0.334928
0.004	-0.00200838	-0.334369	0.66822	0.334887
0.005	-0.00251047	-0.334341	0.668179	0.334846
0.006	-0.00301256	-0.334314	0.668138	0.334804
0.007	-0.00351466	-0.334286	0.668096	0.334763
0.008	-0.00401675	-0.334259	0.668055	0.334722
0.009	-0.00451885	-0.334231	0.668014	0.33468
0.01	-0.00502094	-0.334204	0.667973	0.334639
0.011	-0.00552303	-0.334176	0.667932	0.334598
0.012	-0.00602513	-0.334149	0.66789	0.334557
0.013	-0.00652722	-0.334121	0.667849	0.334515
0.014	-0.00702932	-0.334094	0.667808	0.334474
0.015	-0.00753141	-0.334066	0.667767	0.334433
0.016	-0.00803314	-0.334039	0.667726	0.334392
0.017	-0.00853427	-0.334011	0.667684	0.33435
0.018	-0.00903539	-0.333984	0.667643	0.334309
0.019	-0.00953652	-0.333956	0.667602	0.334268
0.02	-0.0100376	-0.333929	0.66756	0.334227
0.021	-0.0105388	-0.333901	0.667519	0.334185
0.022	-0.0110399	-0.333874	0.667478	0.334144
0.023	-0.011541	-0.333847	0.667437	0.334103
0.024	-0.0120421	-0.333819	0.667395	0.334062
0.025	-0.0125433	-0.333792	0.667354	0.334021
0.026	-0.0130444	-0.333764	0.667313	0.333979
0.027	-0.0135455	-0.333737	0.667271	0.333938
0.028	-0.0140466	-0.333709	0.66723	0.333897
0.029	-0.0145478	-0.333682	0.667189	0.333856
0.03	-0.0150489	-0.333654	0.667148	0.333815
0.031	-0.01555	-0.333627	0.667106	0.333773
0.032	-0.0160504	-0.333599	0.667065	0.333732
0.033	-0.0165506	-0.333572	0.667024	0.333691
0.034	-0.0170508	-0.333544	0.666983	0.33365
0.035	-0.0175509	-0.333517	0.666941	0.333608
0.036	-0.0180511	-0.333489	0.6669	0.333567
0.037	-0.0185513	-0.333462	0.666859	0.333526
0.038	-0.0190514	-0.333434	0.666818	0.333485
0.039	-0.0195516	-0.333407	0.666777	0.333444
0.04	-0.0200518	-0.333379	0.666735	0.333402
0.041	-0.0205519	-0.333352	0.666694	0.333361
0.042	-0.0210521	-0.333324	0.666653	0.33332
0.043	-0.0215523	-0.333297	0.666612	0.333279
0.044	-0.0220524	-0.333269	0.66657	0.333237
0.045	-0.0225526	-0.333242	0.666529	0.333196
0.046	-0.0230528	-0.333214	0.666488	0.333155
0.047	-0.0235528	-0.333187	0.666447	0.333114
0.048	-0.024052	-0.333159	0.666406	0.333073
0.049	-0.0245512	-0.333132	0.666364	0.333031
0.05	-0.0250504	-0.333104	0.666323	0.33299
0.051	-0.0255496	-0.333077	0.666282	0.332949
0.052	-0.0260488	-0.333049	0.666241	0.332907
0.053	-0.026548	-0.333022	0.6662	0.332866
0.054	-0.0270472	-0.332994	0.666158	0.332825
0.055	-0.0275463	-0.332967	0.666117	0.332784
0.056	-0.0280455	-0.332939	0.666076	0.332742
0.057	-0.0285447	-0.332912	0.666035	0.332701
0.058	-0.0290439	-0.332885	0.665994	0.33266
0.059	-0.0295431	-0.332857	0.665952	0.332618
0.06	-0.0300423	-0.33283	0.665911	0.332577
0.061	-0.0305415	-0.332802	0.66587	0.332536
0.062	-0.0310407	-0.332775	0.665829	0.332495
0.063	-0.0315394	-0.332747	0.665787	0.332453
0.064	-0.0320376	-0.33272	0.665746	0.332412
0.065	-0.0325359	-0.332692	0.665705	0.332371
0.066	-0.0330341	-0.332665	0.665664	0.33233
0.067	-0.0335323	-0.332637	0.665622	0.332289
0.068	-0.0340306	-0.33261	0.665581	0.332247
0.069	-0.0345288	-0.332582	0.66554	0.332206
0.07	-0.035027	-0.332555	0.665498	0.332165
0.071	-0.0355252	-0.332527	0.665457	0.332124
0.072	-0.0360235	-0.3325	0.665416	0.332082
0.073	-0.0365217	-0.332472	0.665375	0.332041
0.074	-0.0370199	-0.332445	0.665333	0.332
0.075	-0.0375181	-0.332417	0.665292	0.331959
