#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0	-2.7694E-23	-0.277778	0.583333	0.25
0.001	-0.000398437	-0.278111	0.583833	0.2505
0.002	-0.000796874	-0.278445	0.584333	0.251
0.003	-0.00119531	-0.278778	0.584833	0.2515
0.004	-0.00159375	-0.279111	0.585333	0.252
0.005	-0.00199218	-0.279445	0.585833	0.2525
0.006	-0.00239062	-0.279778	0.586333	0.253
0.007	-0.00278906	-0.280111	0.586833	0.2535
0.008	-0.00318749	-0.280445	0.587333	0.254
0.009	-0.00358593	-0.280778	0.587833	0.2545
0.01	-0.00398437	-0.281111	0.588333	0.255
0.011	-0.0043828	-0.281445	0.588833	0.2555
0.012	-0.00478124	-0.281778	0.589333	0.256
0.013	-0.00517968	-0.282111	0.589833	0.2565
0.014	-0.00557812	-0.282445	0.590333	0.257
0.015	-0.00597655	-0.282778	0.590833	0.2575
0.016	-0.00637499	-0.283111	0.591333	0.258
0.017	-0.00677343	-0.283445	0.591833	0.2585
0.018	-0.00717186	-0.283778	0.592333	0.259
0.019	-0.0075703	-0.284111	0.592833	0.2595
0.02	-0.00796874	-0.284445	0.593333	0.26
0.021	-0.00836717	-0.284778	0.593833	0.2605
0.022	-0.00876561	-0.285111	0.594333	0.261
0.023	-0.00916405	-0.285445	0.594833	0.2615
0.024	-0.00956248	-0.285778	0.595333	0.262
0.025	-0.00996092	-0.286111	0.595833	0.2625
0.026	-0.0103594	-0.286445	0.596333	0.263
0.027	-0.0107578	-0.286778	0.596833	0.2635
0.028	-0.0111562	-0.287111	0.597333	0.264
0.029	-0.0115547	-0.287445	0.597833	0.2645
0.03	-0.0119531	-0.287778	0.598333	0.265
0.031	-0.0123515	-0.288111	0.598833	0.2655
0.032	-0.01275	-0.288444	0.599333	0.266
0.033	-0.0131484	-0.288778	0.599833	0.2665
0.034	-0.0135469	-0.289111	0.600333	0.267
0.035	-0.0139453	-0.289444	0.600833	0.2675
0.036	-0.0143437	-0.289778	0.601333	0.268
0.037	-0.0147422	-0.290111	0.601833	0.2685
0.038	-0.0151406	-0.290444	0.602333	0.269
0.039	-0.015539	-0.290778	0.602833	0.2695
0.04	-0.0159375	-0.291111	0.603333	0.27
0.041	-0.0163359	-0.291444	0.603833	0.2705
0.042	-0.0167343	-0.291778	0.604333	0.271
0.043	-0.0171328	-0.292111	0.604833	0.2715
0.044	-0.0175312	-0.292444	0.605333	0.272
0.045	-0.0179297	-0.292778	0.605833	0.2725
0.046	-0.0183281	-0.293111	0.606333	0.273
0.047	-0.0187265	-0.293444	0.606833	0.2735
0.048	-0.019125	-0.293778	0.607333	0.274
0.049	-0.0195234	-0.294111	0.607833	0.2745
0.05	-0.0199218	-0.294444	0.608333	0.275
0.051	-0.0203203	-0.294778	0.608833	0.2755
0.052	-0.0207187	-0.295111	0.609333	0.276
0.053	-0.0211172	-0.295444	0.609833	0.2765
0.054	-0.0215156	-0.295778	0.610333	0.277
0.055	-0.021914	-0.296111	0.610833	0.2775
0.056	-0.0223125	-0.296444	0.611333	0.278
0.057	-0.0227109	-0.296778	0.611833	0.2785
0.058	-0.0231093	-0.297111	0.612333	0.279
