#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0.118	-0.0601942	-0.32673	0.656762	0.323429
0.119	-0.060683	-0.32654	0.656476	0.323143
0.12	-0.0611719	-0.326349	0.656191	0.322857
0.121	-0.0616607	-0.326159	0.655905	0.322572
0.122	-0.0621496	-0.325968	0.655619	0.322286
0.123	-0.0626384	-0.325778	0.655333	0.322
0.124	-0.0631273	-0.325587	0.655048	0.321715
0.125	-0.0636161	-0.325397	0.654762	0.321429
0.126	-0.0640915	-0.325207	0.654476	0.321143
0.127	-0.064567	-0.325016	0.654191	0.320858
0.128	-0.0650424	-0.324826	0.653905	0.320572
0.129	-0.0655179	-0.324635	0.653619	0.320286
0.13	-0.0659933	-0.324445	0.653333	0.32
0.131	-0.0664688	-0.324254	0.653048	0.319715
0.132	-0.0669442	-0.324064	0.652762	0.319429
0.133	-0.0674197	-0.323873	0.652476	0.319143
0.134	-0.0678951	-0.323683	0.65219	0.318857
0.135	-0.0683706	-0.323492	0.651905	0.318572
0.136	-0.068846	-0.323302	0.651619	0.318286
0.137	-0.0693215	-0.323111	0.651333	0.318
0.138	-0.0697969	-0.322921	0.651048	0.317715
0.139	-0.0702723	-0.32273	0.650762	0.317429
0.14	-0.0707478	-0.32254	0.650476	0.317143
0.141	-0.0712232	-0.322349	0.65019	0.316857
0.142	-0.0716987	-0.322159	0.649905	0.316572
0.143	-0.0721741	-0.321968	0.649619	0.316286
0.144	-0.0726496	-0.321778	0.649333	0.316
0.145	-0.073125	-0.321587	0.649047	0.315714
0.146	-0.0736005	-0.321397	0.648762	0.315429
0.147	-0.0740759	-0.321206	0.648476	0.315143
0.148	-0.0745514	-0.321016	0.64819	0.314857
0.149	-0.0750268	-0.320825	0.647905	0.314572
0.15	-0.0755023	-0.320635	0.647619	0.314286
0.151	-0.0759777	-0.320444	0.647333	0.314
0.152	-0.0764531	-0.320254	0.647047	0.313714
0.153	-0.0769286	-0.320063	0.646762	0.313429
0.154	-0.077404	-0.319873	0.646476	0.313143
0.155	-0.0778795	-0.319682	0.64619	0.312857
0.156	-0.0783549	-0.319492	0.645904	0.312571
0.157	-0.0788203	-0.319301	0.645619	0.312286
0.158	-0.0792824	-0.319111	0.645333	0.312
0.159	-0.0797444	-0.31892	0.645047	0.311714
0.16	-0.0802065	-0.31873	0.644762	0.311429
0.161	-0.0806685	-0.318539	0.644476	0.311143
0.162	-0.0811306	-0.318349	0.64419	0.310857
0.163	-0.0815926	-0.318158	0.643905	0.310571
0.164	-0.0820547	-0.317968	0.643619	0.310286
0.165	-0.0825168	-0.317777	0.643333	0.31
0.166	-0.0829788	-0.317587	0.643047	0.309714
0.167	-0.0834408	-0.317397	0.642762	0.309428
0.168	-0.0839029	-0.317206	0.642476	0.309143
0.169	-0.084365	-0.317016	0.64219	0.308857
0.17	-0.084827	-0.316825	0.641905	0.308571
0.171	-0.0852891	-0.316635	0.641619	0.308286
0.172	-0.0857511	-0.316444	0.641333	0.308
0.173	-0.0862131	-0.316254	0.641048	0.307714
0.174	-0.0866752	-0.316063	0.640762	0.307428
0.175	-0.0871373	-0.315873	0.640476	0.307143
0.176	-0.0875993	-0.315682	0.640191	0.306857
0.177	-0.0880614	-0.315492	0.639905	0.306571
0.178	-0.0885234	-0.315301	0.639619	0.306285
0.179	-0.0889855	-0.315111	0.639333	0.306
0.18	-0.0894475	-0.31492	0.639048	0.305714
0.181	-0.0899096	-0.31473	0.638762	0.305428
0.182	-0.0903716	-0.31454	0.638476	0.305142
0.183	-0.0908337	-0.314349	0.638191	0.304857
0.184	-0.0912957	-0.314159	0.637905	0.304571
0.185	-0.0917578	-0.313968	0.637619	0.304285
0.186	-0.0922198	-0.313778	0.637334	0.304
0.187	-0.0926819	-0.313587	0.637048	0.303714
0.188	-0.0931372	-0.313397	0.636762	0.303428
0.189	-0.0935859	-0.313206	0.636476	0.303142
0.19	-0.0940346	-0.313016	0.636191	0.302857
0.191	-0.0944833	-0.312825	0.635905	0.302571
0.192	-0.0949319	-0.312635	0.635619	0.302285
0.193	-0.0953806	-0.312444	0.635333	0.302
0.194	-0.0958293	-0.312254	0.635048	0.301714
0.195	-0.096278	-0.312064	0.634762	0.301428
0.196	-0.0967266	-0.311873	0.634476	0.301143
0.197	-0.0971753	-0.311683	0.634191	0.300857
0.198	-0.097624	-0.311492	0.633905	0.300571
0.199	-0.0980727	-0.311302	0.633619	0.300285
0.2	-0.0985213	-0.311111	0.633333	0.3
0.201	-0.09897	-0.310921	0.633048	0.299714
0.202	-0.0994187	-0.31073	0.632762	0.299428
0.203	-0.0998674	-0.31054	0.632476	0.299143
0.204	-0.100316	-0.310349	0.632191	0.298857
0.205	-0.100765	-0.310159	0.631905	0.298571
0.206	-0.101213	-0.309968	0.631619	0.298286
0.207	-0.101662	-0.309778	0.631333	0.298
