#Nel/side   Nel     Neq     NeqFull DispY
1           2       31      157     7.9571
2           8       108     624     7.9828
4           32      400     2488    8.0302
8           128     1536    9936    8.0543
16          512     6016    39712   8.0653
32          2048    23808   158784  8.0707
