#Nel/side    Neq    Neq     Neq     P2P1        P3P2        P4P3  
1            22     41      66      5.03534     7.59628     7.47447
2            59     123     211     7.99224     7.93818     7.9644
4            187    419     747     8.00161     8.00106     8.01966
8            659    1539    2803    8.04897     8.03866     8.04757
16           2467   5891    10851   8.06318     8.057       8.06153
32           9539   23043   42691   8.06918     8.0662      8.06844
